Time,P3,F3,C3,Cz,T7,P4,F4,C4,T8
0.22,-30.17458462,950.5403382,290.678155,275.2031805,629.7087672,895.9628274,608.9483567,-0.714778871,293.0542781
0.222,-27.1125729,949.3109681,291.1698543,276.3657782,625.5959742,895.0910928,608.5684739,-1.541805238,289.5227839
0.224,-27.93972134,943.8124329,293.0697566,274.577204,622.5561793,893.3476541,605.3721848,-3.240535707,287.9580866
0.226,-32.99099087,958.1399476,286.0512019,272.3648016,622.4665797,894.2417276,602.9805832,-2.905269594,287.6452204
0.228,-33.50515103,952.8872621,285.9618465,273.7280829,622.3325465,893.3029763,601.1251145,-2.949947328,288.4722468
0.23,-34.19802212,940.8844544,286.5204402,273.8843329,620.0080836,891.7383401,598.6885911,-5.363948793,286.4828669
0.232,-36.70144009,949.7803285,286.2074519,272.8565008,619.0022242,891.4701211,599.3594895,-5.945064516,285.5218074
0.234,-37.37185025,961.8279359,280.3964168,274.420954,620.4104274,894.0405862,600.2979661,-3.106380434,286.5500056
0.236,-35.2038815,958.4976136,281.4691707,272.1856024,619.9409449,895.2475564,597.9512864,-3.665218324,285.588824
0.238,-32.76735806,950.1826722,283.6820613,272.4541571,621.6843531,896.5663125,596.0284348,-3.687557191,287.533404
0.24,-31.60524868,943.9465882,283.8158504,274.4658758,623.2937281,895.8957803,597.3926926,-4.291072816,288.8522517
0.242,-30.84548306,943.7007386,284.7772761,275.3818915,625.282986,896.4992654,600.3428879,-3.464046449,291.5120417
0.244,-31.62770962,943.4995667,283.6820613,275.8960516,625.2158473,897.4380471,602.0411301,-1.340633363,296.7647273
0.246,-33.23708462,936.6151673,281.044366,273.2363837,620.3432887,895.6499002,600.6104661,-3.352291078,290.215655
0.248,-36.67897915,923.2936341,278.0267879,271.8506415,617.3703883,892.9676797,598.4424973,-6.168575258,284.6277644
0.25,-39.42849087,927.3392884,278.563409,271.6939032,615.4482692,892.0736062,596.1407395,-6.369747133,285.7899958
0.252,-41.32839322,943.3877503,277.6918269,272.5659735,614.5989039,895.5828531,593.0333176,-2.502925844,283.085406
0.254,-41.59645962,947.366388,275.188409,273.5938055,614.3305934,897.8627298,591.8936692,1.810977965,283.621905
